Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,SQ_INSTS_MMOP,SQ_ACTIVE_INST_MMOP,SQ_INSTS_VALU,SQ_ACTIVE_INST_VALU,SQ_WAVES,DispatchNs,BeginNs,EndNs,CompleteNs
115,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,175,465403,465403,49152,128,16384,0,92,0,80,64,0x0,0x7f1021620940,36864,73728,774144,866304,768,2875298761511489,2875298762074668,2875298762102348,2875298762102034
117,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,179,465403,465403,49152,128,16384,0,92,0,80,64,0x0,0x7f1021620940,36864,73728,774144,866304,768,2875298762461178,2875298762980907,2875298763005867,2875298763005623
119,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,183,465403,465403,49152,128,16384,0,92,0,80,64,0x0,0x7f1021620940,36864,73728,774144,866304,768,2875298763365166,2875298763881066,2875298763908586,2875298763908321
121,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,187,465403,465403,49152,128,16384,0,92,0,80,64,0x0,0x7f1021620940,36864,73728,774144,866304,768,2875298764268544,2875298764795306,2875298764822506,2875298764822219
123,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,191,465403,465403,49152,128,16384,0,92,0,80,64,0x0,0x7f1021620940,36864,73728,774144,866304,768,2875298765178782,2875298765691785,2875298765721225,2875298765720847
125,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,195,465403,465403,49152,128,16384,0,92,0,80,64,0x0,0x7f1021620940,36864,73728,774144,866304,768,2875298766077361,2875298766586024,2875298766613384,2875298766613145
127,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,199,465403,465403,49152,128,16384,0,92,0,80,64,0x0,0x7f1021620940,36864,73728,774144,866304,768,2875298766955979,2875298767467464,2875298767495144,2875298767494874
129,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,203,465403,465403,49152,128,16384,0,92,0,80,64,0x0,0x7f1021620940,36864,73728,774144,866304,768,2875298767843797,2875298768367463,2875298768397543,2875298768397262
131,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,207,465403,465403,49152,128,16384,0,92,0,80,64,0x0,0x7f1021620940,36864,73728,774144,866304,768,2875298768746785,2875298769278342,2875298769305382,2875298769305670
133,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,211,465403,465403,49152,128,16384,0,92,0,80,64,0x0,0x7f1021620940,36864,73728,774144,866304,768,2875298769655493,2875298770163302,2875298770190822,2875298770190918
135,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,215,465403,465403,49152,128,16384,0,92,0,80,64,0x0,0x7f1021620940,36864,73728,774144,866304,768,2875298770547651,2875298771090661,2875298771117381,2875298771117057
137,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,219,465403,465403,49152,128,16384,0,92,0,80,64,0x0,0x7f1021620940,36864,73728,774144,866304,768,2875298771481270,2875298771997380,2875298772024740,2875298772024475
139,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,223,465403,465403,49152,128,16384,0,92,0,80,64,0x0,0x7f1021620940,36864,73728,774144,866304,768,2875298772376928,2875298772887620,2875298772914820,2875298772914653
141,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,227,465403,465403,49152,128,16384,0,92,0,80,64,0x0,0x7f1021620940,36864,73728,774144,866304,768,2875298773264966,2875298773775779,2875298773802979,2875298773802701
143,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,231,465403,465403,49152,128,16384,0,92,0,80,64,0x0,0x7f1021620940,36864,73728,774144,866304,768,2875298774156204,2875298774670018,2875298774696898,2875298774696709
145,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,235,465403,465403,49152,128,16384,0,92,0,80,64,0x0,0x7f1021620940,36864,73728,774144,866304,768,2875298775037202,2875298775540578,2875298775567618,2875298775567427
147,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,239,465403,465403,49152,128,16384,0,92,0,80,64,0x0,0x7f1021620940,36864,73728,774144,866304,768,2875298775909930,2875298776422817,2875298776450337,2875298776450025
149,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,243,465403,465403,49152,128,16384,0,92,0,80,64,0x0,0x7f1021620940,36864,73728,774144,866304,768,2875298776796109,2875298777294816,2875298777321216,2875298777321223
151,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,247,465403,465403,49152,128,16384,0,92,0,80,64,0x0,0x7f1021620940,36864,73728,774144,866304,768,2875298777666126,2875298778171296,2875298778201056,2875298778201281
153,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,251,465403,465403,49152,128,16384,0,92,0,80,64,0x0,0x7f1021620940,36864,73728,774144,866304,768,2875298778543974,2875298779060255,2875298779089535,2875298779089219
155,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,255,465403,465403,49152,128,16384,0,92,0,80,64,0x0,0x7f1021620940,36864,73728,774144,866304,768,2875298779457333,2875298779978014,2875298780005214,2875298780004928
157,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,259,465403,465403,49152,128,16384,0,92,0,80,64,0x0,0x7f1021620940,36864,73728,774144,866304,768,2875298780362581,2875298780868094,2875298780895134,2875298780894916
159,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,263,465403,465403,49152,128,16384,0,92,0,80,64,0x0,0x7f1021620940,36864,73728,774144,866304,768,2875298781253099,2875298781749693,2875298781776413,2875298781776124
161,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,267,465403,465403,49152,128,16384,0,92,0,80,64,0x0,0x7f1021620940,36864,73728,774144,866304,768,2875298782128457,2875298782631452,2875298782658172,2875298782658032
163,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,271,465403,465403,49152,128,16384,0,92,0,80,64,0x0,0x7f1021620940,36864,73728,774144,866304,768,2875298783007385,2875298783527132,2875298783556732,2875298783556650
165,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,275,465403,465403,49152,128,16384,0,92,0,80,64,0x0,0x7f1021620940,36864,73728,774144,866304,768,2875298783902133,2875298784426331,2875298784453531,2875298784453399
167,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,279,465403,465403,49152,128,16384,0,92,0,80,64,0x0,0x7f1021620940,36864,73728,774144,866304,768,2875298784805982,2875298785316680,2875298785343720,2875298785345697
169,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,283,465403,465403,49152,128,16384,0,92,0,80,64,0x0,0x7f1021620940,36864,73728,774144,866304,768,2875298785692130,2875298786213319,2875298786240519,2875298786242505
171,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,287,465403,465403,49152,128,16384,0,92,0,80,64,0x0,0x7f1021620940,36864,73728,774144,866304,768,2875298786588478,2875298787106118,2875298787133318,2875298787135333
173,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,291,465403,465403,49152,128,16384,0,92,0,80,64,0x0,0x7f1021620940,36864,73728,774144,866304,768,2875298787506166,2875298788024678,2875298788052198,2875298788054202
175,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,295,465403,465403,49152,128,16384,0,92,0,80,64,0x0,0x7f1021620940,36864,73728,774144,866304,768,2875298788408695,2875298788940517,2875298788968357,2875298788970570
176,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,297,465403,465403,49152,128,16384,0,100,0,80,64,0x0,0x7f101fde0940,36864,73728,774144,866304,768,2875298807762322,2875298808566260,2875298808595860,2875298808600539
178,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,301,465403,465403,49152,128,16384,0,100,0,80,64,0x0,0x7f101fde0940,36864,73728,774144,866304,768,2875298809036613,2875298809651859,2875298809680659,2875298809685809
180,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,303,465403,465403,49152,128,16384,0,100,0,80,64,0x0,0x7f101fde0940,36864,73728,774144,866304,768,2875298809780110,2875298810474098,2875298810502898,2875298810510647
182,"chunk_scaled_dot_kkt_fwd_kernel.kd",8,0,305,465403,465403,49152,128,16384,0,100,0,80,64,0x0,0x7f101fde0940,36864,73728,774144,866304,768,2875298810610098,2875298811260017,2875298811289137,2875298811295624
